Order_ID,Order_Date,Customer_ID,Product,Category,Region,State,Quantity,Sales,Profit,Payment_Mode,Customer_Type
ORD0001,2025-05-21,CUST140,Smartphone,Electronics,West,Goa,4,84110.64,16594.55,UPI,Corporate
ORD0002,2025-02-17,CUST144,Pen Set,Stationery,West,Maharashtra,4,689.88,117.56,Credit Card,Corporate
ORD0003,2025-08-18,CUST041,Shoes,Fashion,East,West Bengal,5,17637.72,904.81,Cash,Returning
ORD0004,2025-06-22,CUST089,Desk,Furniture,North,Delhi,2,22156.48,1536.4,Net Banking,Returning
ORD0005,2025-03-05,CUST093,Laptop,Electronics,East,Bihar,7,354084.52,38466.2,Net Banking,New
ORD0006,2025-04-27,CUST026,Smartphone,Electronics,West,Goa,5,126093.59,27874.7,Cash,Returning
ORD0007,2025-07-09,CUST019,Backpack,Accessories,South,Karnataka,6,10285.67,1063.49,Net Banking,Corporate
ORD0008,2025-08-25,CUST143,Headphones,Electronics,North,Delhi,7,16931.02,3980.11,Credit Card,Corporate
ORD0009,2025-01-17,CUST146,Notebook,Stationery,West,Maharashtra,6,720.21,45.54,Debit Card,New
ORD0010,2025-08-23,CUST144,Backpack,Accessories,East,Bihar,3,5217.59,518.24,Net Banking,Returning
ORD0011,2025-07-24,CUST131,T-Shirt,Fashion,East,Bihar,6,5156.08,1286.48,Cash,New
ORD0012,2025-11-18,CUST017,Laptop,Electronics,West,Maharashtra,3,181173.27,24355.48,Cash,Returning
ORD0013,2025-05-09,CUST138,T-Shirt,Fashion,East,Bihar,1,963.06,70.22,Debit Card,Corporate
ORD0014,2025-08-11,CUST068,Notebook,Stationery,West,Gujarat,3,364.84,87.84,Net Banking,New
ORD0015,2025-06-02,CUST139,Shoes,Fashion,West,Goa,4,12009.09,2431.87,Net Banking,New
ORD0016,2025-01-10,CUST079,T-Shirt,Fashion,South,Tamil Nadu,2,2038.09,460.09,Credit Card,New
ORD0017,2025-09-06,CUST033,Office Chair,Furniture,West,Maharashtra,2,19456.43,3045.73,Credit Card,Corporate
ORD0018,2025-09-28,CUST052,Backpack,Accessories,North,Punjab,7,14377.74,3390.02,Debit Card,Returning
ORD0019,2025-08-20,CUST006,Notebook,Stationery,East,Bihar,2,230.87,14.5,Net Banking,Corporate
ORD0020,2025-02-06,CUST085,Office Chair,Furniture,North,Delhi,1,8136.5,1880.21,UPI,Corporate
ORD0021,2025-09-06,CUST147,Office Chair,Furniture,South,Telangana,4,35183.49,6849.19,Net Banking,Returning
ORD0022,2025-04-08,CUST109,Office Chair,Furniture,East,Odisha,2,15711.96,2140.13,Cash,Returning
ORD0023,2025-07-26,CUST050,Laptop,Electronics,West,Maharashtra,6,363048.88,26086.44,Credit Card,Corporate
ORD0024,2025-04-04,CUST020,Backpack,Accessories,North,Punjab,5,9140.91,2055.76,Cash,Corporate
ORD0025,2025-10-04,CUST061,Smartphone,Electronics,West,Goa,1,25129.48,5912.3,Credit Card,Returning
ORD0026,2025-07-25,CUST100,Backpack,Accessories,East,West Bengal,1,1694.09,85.43,Debit Card,Returning
ORD0027,2025-10-12,CUST015,Desk,Furniture,East,Bihar,8,90115.12,9853.33,Net Banking,Corporate
ORD0028,2025-06-10,CUST136,Shoes,Fashion,West,Goa,1,2920.11,424.46,Credit Card,New
ORD0029,2025-02-05,CUST031,Shoes,Fashion,West,Maharashtra,2,6840.34,663.79,Net Banking,New
ORD0030,2025-02-11,CUST081,T-Shirt,Fashion,West,Goa,7,6705.36,1093.28,Debit Card,New
ORD0031,2025-07-22,CUST081,Notebook,Stationery,North,Punjab,3,384.45,42.29,UPI,
ORD0032,2025-10-03,CUST090,Backpack,Accessories,West,Maharashtra,4,7390.59,565.32,UPI,New
ORD0033,2025-08-13,CUST136,Notebook,Stationery,South,Karnataka,5,631.75,156.32,UPI,Corporate
ORD0034,2025-02-23,CUST142,Shoes,Fashion,South,Telangana,3,9274.72,2114.1,Credit Card,Returning
ORD0035,2025-06-25,CUST130,Desk,Furniture,North,Rajasthan,4,51449.97,11348.97,Cash,Returning
ORD0036,2025-08-05,CUST034,Laptop,Electronics,West,Goa,5,250530.96,29239.8,Debit Card,New
ORD0037,2025-01-05,CUST039,Backpack,Accessories,East,Bihar,2,3307.72,749.6,Net Banking,New
ORD0038,2025-03-07,CUST011,Notebook,Stationery,North,Punjab,1,117.25,26.94,Debit Card,New
ORD0039,2025-10-14,CUST061,Office Chair,Furniture,West,Gujarat,7,68035.83,13600.06,Credit Card,New
ORD0040,2025-06-20,CUST064,Pen Set,Stationery,West,Maharashtra,7,1386.7,308.97,Debit Card,New
ORD0041,2025-08-29,CUST090,Smartphone,Electronics,East,West Bengal,4,83590.6,19534.32,Debit Card,New
ORD0042,2025-04-09,CUST072,Office Chair,Furniture,West,Goa,7,58432.9,13022.97,Debit Card,Corporate
ORD0043,2025-10-02,CUST067,Shoes,Fashion,East,Bihar,6,21788.34,1592.04,Credit Card,Corporate
ORD0044,2025-11-02,CUST112,Desk,Furniture,West,Maharashtra,7,82859.43,17175.57,Net Banking,Corporate
ORD0045,2025-04-08,CUST134,Smartphone,Electronics,East,Bihar,5,100220.63,13751.42,Net Banking,Corporate
ORD0046,2025-02-05,CUST032,Office Chair,Furniture,South,Tamil Nadu,6,53845.23,9836.31,Debit Card,Corporate
ORD0047,2025-07-26,CUST098,Desk,Furniture,East,Odisha,5,62316.19,5506.76,Credit Card,Corporate
ORD0048,2025-10-08,CUST149,T-Shirt,Fashion,South,Tamil Nadu,1,878.37,80.84,Net Banking,Corporate
ORD0049,2025-08-15,CUST044,Notebook,Stationery,East,Odisha,4,493.34,102.98,UPI,Returning
ORD0050,2025-05-01,CUST007,Shoes,Fashion,South,Karnataka,5,15298.56,1374.21,UPI,New
ORD0051,2025-08-01,CUST103,Backpack,Accessories,West,Gujarat,4,7773.02,985.59,,New
ORD0052,2025-04-23,CUST119,Laptop,Electronics,West,Gujarat,3,181669.53,34368.67,UPI,Corporate
ORD0053,2025-03-10,CUST082,Office Chair,Furniture,West,Gujarat,8,72548.82,17961.53,Cash,Corporate
ORD0054,2025-08-17,CUST067,Shoes,Fashion,East,Bihar,3,10424.77,1510.91,Credit Card,Corporate
ORD0055,2025-05-03,CUST061,Desk,Furniture,East,Bihar,5,60598.09,11677.8,Debit Card,Returning
ORD0056,2025-03-19,CUST055,Notebook,Stationery,West,Maharashtra,4,477.96,38.5,UPI,Returning
ORD0057,2025-08-27,CUST100,Pen Set,Stationery,South,Telangana,7,1153.61,249.85,Net Banking,Corporate
ORD0058,2025-01-04,CUST108,Laptop,Electronics,East,Odisha,6,321635.54,41168.49,Net Banking,Corporate
ORD0059,2025-04-23,CUST087,Shoes,Fashion,North,Punjab,5,16143.34,900.88,Cash,Corporate
